id,name,sex,age,height,weight,team,noc,year,season,city,sport,event_x,medal,event_y,substance,flagged,result,result_100m_mens_london,result_100m_womens_rio,result_100m_womens_london,result_200m_mens_rio,result_200m_mens_london,result_200m_womens_rio,result_200m_womens_london,result_110h_mens_rio,result_110h_mens_london,result_100h_womens_rio,result_100h_womens_london,result_3000steep_mens_rio,result_3000steep_mens_london,result_3000steep_womens_rio,result_3000steep_womens_london,result_marathon_mens_rio,result_marathon_mens_london,result_marathon_womens_rio,result_marathon_womens_london,result_20km_mens_rio,result_20km_mens_london,result_20km_womens_rio,result_20km_womens_london,result_400m_mens_rio,result_400m_mens_london,result_400m_womens_rio,result_400m_womens_london,result_5000m_mens_rio,result_5000m_mens_london,result_5000m_womens_rio,result_5000m_womens_london,result_800m_mens_rio,result_800m_mens_london,result_800m_womens_rio,result_800m_womens_london,result_discus_mens_rio,result_discus_mens_london,result_discus_womens_rio,result_discus_womens_london
804,antoine adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
823,liam adams,M,29.0,178.0,64.0,Australia,AUS,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,,,,,,,,,,,,,,,,,,,,,2:16:12,,,,,,,,,,,,,,,,,,,,,,,
824,luke adams,M,35.0,189.0,70.0,Australia,AUS,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826,lyukman adams,M,23.0,194.0,87.0,Russia,RUS,2012,Summer,London,Athletics,Athletics Men's Triple Jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,valerie vili,F,27.0,193.0,120.0,New Zealand,NZL,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
846,valerie vili,F,31.0,193.0,120.0,New Zealand,NZL,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
888,jangy addy,M,27.0,188.0,88.0,Liberia,LBR,2012,Summer,London,Athletics,Athletics Men's Decathlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
900,oluwakemi adekoya,F,23.0,166.0,63.0,Bahrain,BRN,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,abrar adem,M,18.0,168.0,58.0,Eritrea,ERI,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:09.56,13:24.40,,,,,,,,,,
915,abrar adem,M,18.0,168.0,58.0,Eritrea,ERI,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22.56,13:24.40,,,,,,,,,,
915,abrar adem,M,22.0,168.0,58.0,Eritrea,ERI,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:09.56,13:24.40,,,,,,,,,,
915,abrar adem,M,22.0,168.0,58.0,Eritrea,ERI,2016,Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13:22.56,13:24.40,,,,,,,,,,
927,margaret adeoye,F,27.0,162.0,65.0,Great Britain,GBR,2012,Summer,London,Athletics,Athletics Women's 200 metres,,,,,,,,,,,,23.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,margaret adeoye,F,27.0,162.0,65.0,Great Britain,GBR,2012,Summer,London,Athletics,Athletics Women's 200 metres,,,,,,,,,,,,22.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,nyakisi adero,F,30.0,,,Uganda,UGA,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,,,,,,,,,,,,,,,,,,,,,,,2:42:39,,,,,,,,,,,,,,,,,,,,,
942,moriam adigun,F,25.0,153.0,52.0,Nigeria,NGR,2012,Summer,London,Athletics,Athletics Women's 100 metres Hurdles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,bradley adkins,M,22.0,188.0,80.0,United States,USA,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's High Jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,sara aerts,F,28.0,182.0,64.0,Belgium,BEL,2012,Summer,London,Athletics,Athletics Women's Heptathlon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
